clique,version,title,performer,id
307,2,Embraceable You,"Loring ""Red"" Nichols and His Orchestra",P_88919
307,3,Embraceable You,Judy Garland with Victor Young and His Orchestra,P_299226
307,4,Embraceable You,Judy Garland with Georgie Stoll and His Orchestra,P_368009
307,5,Embraceable You,The King Cole Trio,P_228963
307,6,Embraceable You,Dinah Washington with Gus Chappell's Orchestra,P_439194
307,7,Embraceable You,Frank Sinatra,P_38472
307,8,Embraceable You,Billie Holiday,P_456868
307,9,Embraceable You,Jo Stafford with Paul Weston and His Orchestra,P_283017
307,10,Embraceable You,Hazel Scott,P_484987
307,11,Embraceable You,Don Byas Quartet,P_652552
307,12,Embraceable You,Bud Powell Trio,P_540564
308,0,My Foolish Heart,Gordon Jenkins and His Orchestra,P_271946
308,1,My Foolish Heart,Billy Eckstine - Orchestra Conducted by Russ Case,P_167603
308,2,My Foolish Heart,Richard Hayes with Mitch Miller's Orchestra,P_271980
308,3,My Foolish Heart,Carmen McRae,P_31739
308,4,My Foolish Heart,Donna Fuller with Pete Rugolo and His Orchestra,P_413462
308,5,My Foolish Heart,Ethel Ennis,P_412476
308,6,My Foolish Heart,Del Vikings,P_215089
308,7,My Foolish Heart,Tony Bennett,P_30183
308,8,My Foolish Heart,Sam Cooke,P_265544
308,9,My Foolish Heart,Johnny Nash,P_28950
308,10,My Foolish Heart,Gene Ammons and His Sextet,P_271983
308,11,My Foolish Heart,Buddy Morrow and His Orchestra,P_485679
308,12,My Foolish Heart,Sam Butera and The Witnesses,P_686502
309,0,In a Sentimental Mood,Duke Ellington and His Orchestra,P_20539
309,1,In a Sentimental Mood,Billy Eckstine & His Orch.,P_545073
309,2,In a Sentimental Mood,Ella Fitzgerald with Duke Ellington and His Orchestra,P_64596
309,3,In a Sentimental Mood,Sarah Vaughan,P_283329
309,4,In a Sentimental Mood,Phyllis Hyman,P_48496
309,5,In a Sentimental Mood,Nancy Wilson,P_108686
309,6,In a Sentimental Mood,Johnny Mathis,P_50990
309,7,In a Sentimental Mood,Dianne Reeves,P_198313
309,8,In a Sentimental Mood,Tony Bennett,P_690533
309,9,In a Sentimental Mood,Tokyo Ska Paradise Orchestra,P_349979
309,10,In a Sentimental Mood,Benny Goodman and His Orchestra,P_292706
309,11,In a Sentimental Mood,Sonny Rollins,P_573186
309,12,In a Sentimental Mood,James Clay,P_792867
310,0,The Shadow of Your Smile,Astrud Gilberto,P_68578
310,1,The Shadow of Your Smile,Barbra Streisand,P_111226
310,2,"Love Theme from ""The Sandpiper""",Peggy Lee,P_73079
310,3,The Shadow of Your Smile,Brenda Lee,P_307369
310,4,The Shadow of Your Smile,Bobby Darin,P_91503
310,5,The Shadow of Your Smile,Mrs. Elva Miller,P_248151
310,6,The Shadow of Your Smile,Joanie Sommers,P_438566
310,7,The Shadow of Your Smile,Nancy Sinatra,P_40599
310,8,The Shadow of Your Smile,Trini Lopez,P_71519
310,9,The Shadow of Your Smile,Esther Phillips,P_44561
310,10,Love Theme from The Sandpiper (The Shadow of Your Smile),Wes Montgomery,P_505671
310,11,Shadow of Your Smile,Gerry Mulligan,P_662157
310,12,The Shadow of Your Smile,Herb Alpert and The Tijuana Brass,P_23926
311,0,What a Wonderful World,Frankie Laine,P_427310
311,1,What a Wonderful World,Engelbert Humperdinck,P_151148
311,2,What a Wonderful World,Roger Whittaker,P_411998
311,3,What a Wonderful World,Roger Bennett,P_7112
311,4,What a Wonderful World,Robert Goulet,P_444296
311,5,What a Wonderful World,Ed Ames,P_414011
311,6,What a Wonderful World,Vera Lynn,P_146650
311,7,What a Wonderful World,BMX Bandits,P_57991
311,8,What a Wonderful World,Willie Nelson,P_151245
311,9,What a Wonderful World,George Adams,P_21162
311,10,Que mundo tan maravilloso,Waldo de los Ríos,P_436358
311,11,What a Wonderful World,Sounds Orchestral,P_764280
311,12,What a Wonderful World,The Don Reeve Sound,P_507871
312,0,My Romance,Dinah Shore and Frank Sinatra,P_465826
312,1,My Romance,Jo Stafford with Paul Weston and His Orchestra,P_283015
312,2,My Romance,Sarah Vaughan,P_237977
312,3,My Romance,Janis Paige,P_376871
312,4,My Romance,Kitty White,P_537947
312,5,My Romance,Ella Fitzgerald,P_22954
312,6,My Romance,Steve Lawrence,P_664855
312,7,My Romance,Carmen McRae,P_238461
312,8,My Romance,"Vicky Lane, Orchestra Arranged and Conducted by Pete Candoli",P_345002
312,9,My Romance,The Platters,P_614099
312,10,My Romance,Marty Gold and His Orchestra,P_617129
312,11,My Romance,Lem Winchester,P_533113
312,12,My Romance,Ray Conniff His Orchestra and Chorus,P_457856
313,0,Nature Boy,King Cole,P_1378
313,1,Nature Boy,Dick Haymes with The Song Spinners,P_322895
313,2,Nature Boy,Sarah Vaughan,P_108286
313,3,Nature Boy,Ken Karen,P_365364
313,4,Nature Boy,Bobby Darin,P_58121
313,5,Nature Boy,Keely Smith,P_514574
313,6,Nature Boy,Lorez Alexandria,P_576292
313,7,Nature Boy,Etta Jones,P_526770
313,8,Nature Boy,Annie Ross,P_394578
313,9,Nature Boy,James Brown,P_21373
313,10,Nature Boy,Svend Asmussens Orkester,P_449794
313,11,Nature Boy,Miles Davis,P_161224
313,12,Nature Boy,Stan Getz and Strings,P_449861
314,0,How Deep-Is-the Ocean (How High-Is-the Sky),Paul Whiteman and His Orchestra with vocal refrain by Red McKenzie,P_7581
314,1,How Deep Is the Ocean,Bing Crosby,P_353097
314,2,How Deep Is the Ocean?,Benny Goodman and His Orchestra - Vocal Chorus by Peggy Lee,P_86643
314,3,How Deep Is the Ocean?,Artie Shaw and His Orchestra,P_388039
314,4,How Deep Is the Ocean,Dinah Washington with Teddy Stewart's Orchestra,P_517840
314,5,How Deep is the Ocean,Eddie Fisher,P_561504
314,6,How Deep Is the Ocean,Billie Holiday,P_271177
314,7,How Deep Is the Ocean,Pat Boone,P_116234
314,8,How Deep Is the Ocean,Les Paul and Mary Ford,P_370966
314,9,How Deep Is the Ocean,Connie Francis,P_115032
314,10,How Deep Is the Ocean,Miles Davis,P_399713
314,11,How Deep Is the Ocean,Oscar Peterson,P_118730
314,12,How Deep-Is-the Ocean,Jackie Gleason,P_412793
315,0,The Man I Love,Marion Harris,P_40927
315,1,The Man I Love,Annette Hanshaw,P_208136
315,2,The Man I Love,Vaughn De Leath,P_225946
315,3,The Man I Love,Sophie Tucker,P_504004
315,4,The Man I Love,Billie Holiday,P_235612
315,5,The Man I Love,Lena Horne,P_243964
315,6,The Man I Love,Hazel Scott,P_484986
315,7,The Man I Love,"Sarah Vaughan, Orchestra Conducted by Ted Dale",P_472430
315,8,The Man I Love,Anita O'Day,P_114057
315,9,The Man I Love,Dolores Hawkins,P_645426
315,10,The Man I Love,The Troubadours,P_296871
315,11,The Man I Love,Victor Salon Orchestra,P_595535
315,12,The Man I Love,Artie Shaw and His Orchestra,P_293648
316,0,Bridge over Troubled Water,Simon and Garfunkel,P_94
316,1,Bridge over Troubled Water,Stevie Wonder,P_127330
316,2,Bridge over Troubled Water,B.J. Thomas,P_127302
316,3,Bridge over Troubled Water,Jan Howard,P_280975
316,4,Bridge over Troubled Water,King Curtis,P_23153
316,5,Bridge over Troubled Water,Glen Campbell,P_57236
316,6,Bridge over Troubled Water,David Houston,P_36202
316,7,Bridge over Troubled Water,Skeeter Davis,P_151873
316,8,Bridge over Troubled Water,The Jackson 5,P_22214
316,9,Bridge over Troubled Water,The Supremes,P_22216
316,10,Bridge over Troubled Water,Jerry Reed & Chet Atkins,P_340578
316,11,Bridge over Troubled Water,The Ventures,P_26924
316,12,Bridge over Troubled Water,Byron Lee & The Dragonaires,P_315759
317,0,What Is This Thing Called Love?,Elsie Carlisle,P_40671
317,1,What Is This Thing Called Love?,George Metaxa,P_40673
317,2,What Is This Thing Called Love?,Libby Holman,P_40688
317,3,What Is This Thing Called Love?,Ben Bernie and His Orchestra,P_40685
317,4,What Is This Thing Called Love?,Leo Reisman and His Orchestra,P_40691
317,5,What Is This Thing Called Love?,Lena Horne,P_243961
317,6,What Is This Thing Called Love?,Billie Holiday,P_402958
317,7,What Is This Thing Called Love,Anita O'Day with Will Bradley and His Orchestra,P_519292
317,8,What Is This Thing Called Love?,Fran Warren,P_337751
317,9,What Is This Thing Called Love,Frank Sinatra,P_110128
317,10,What Is This Thing Called Love?,Artie Shaw and His Orchestra,P_286639
317,11,What Is This Thing Called Love?,Ray Anthony and His Orchestra,P_706977
317,12,What Is This Thing Called Love,Oscar Peterson,P_468172
318,0,Garota de Ipanema,Os Cariocas,P_416317
318,1,Garota de Ipanema,Pery Ribeiro,P_88556
318,2,Garota de Ipanema,Claudette Soares,P_479043
318,3,Garota de Ipanema,Vinicius de Moraes con Maria Creuza y Toquinho,P_439251
318,4,Garôta de Ipanema,Nara Leão,P_416076
318,5,Garota de Ipanema,Sonia Rosa with Yuji Ohno,P_552638
318,6,Garota de Ipanema,Maria Creuza,P_439241
318,7,Garota de Ipanema,Joyce,P_416461
318,8,Garota de Ipanema,Marina,P_479361
318,9,Garota de Ipanema,Leila Pinheiro e Roberto Menescal,P_770328
318,10,The Girl from Ipanema,Antônio Carlos Jobim,P_62787
318,11,The Girl from Ipanema,Laurindo Almeida,P_270049
318,12,The Girl from Ipanema,Herb Alpert's Tijuana Brass,P_20298
319,0,Cry Me a River,Julie London,P_2158
319,1,Cry Me a River,Eileen Barton,P_84458
319,2,Cry Me a River,Roberta Sherwood,P_274328
319,3,Cry Me a River,Tony Scott,P_19927
319,4,Cry Me a River,Dinah Washington,P_20421
319,5,Cry Me a River,Shirley Bassey,P_2172
319,6,Cry Me a River,Scotty McKay,P_555161
319,7,Cry Me a River,Janice Harper,P_377269
319,8,Cry Me a River,Ella Fitzgerald,P_19698
319,9,Cry Me a River,Ray Martin and His Orchestra,P_329987
319,10,Cry Me a River,Ray Bryant Trio,P_9688
319,11,Cry Me a River,Sam Marowitz with Charles Albertine's Orchestra,P_491966
319,12,Cry Me a River,"Johnny ""Hammond"" Smith",P_550843
320,0,Alone Together,Leo Reisman and His Orchestra,P_344723
320,1,Alone Together,Victor Young and His Orchestra,P_344729
320,2,Alone Together,Artie Shaw and His Orchestra,P_373306
320,3,Alone Together,Jo Stafford with Paul Weston and His Orchestra,P_84386
320,4,Alone Together,Beryl Davis,P_392702
320,5,Alone Together,Peggy Lee,P_283664
320,6,Alone Together,Marge Dodson,P_340318
320,7,Alone Together,Carmen McRae with Orchestra Conducted by Ernie Wilkins,P_665506
320,8,Alone Together,Ray Charles and Betty Carter,P_27167
320,9,Alone Together,Billie Poole with the Junior Mance Trio and Kenny Burrell,P_537802
320,10,Alone Together,Jackie Gleason,P_135677
320,11,Alone Together,Herb Geller,P_791807
320,12,Alone Together,Miles Davis,P_405773
321,0,As Time Goes By,Rudy Vallée and His Connecticut Yankees,P_78942
321,1,As Time Goes By,Jacques Renard & His Orchestra,P_78949
321,2,As Time Goes By,Adelaide Hall,P_81268
321,3,As Time Goes By,Billie Holiday,P_456867
321,4,As Time Goes By,Ray Anthony & His Orchestra,P_81267
321,5,As Time Goes By,Perry Como,P_45620
321,6,As Time Goes By,Lillian Roth,P_435650
321,7,As Time Goes By,Sam (The Man) Taylor and His Orchestra,P_162721
321,8,As Time Goes By,Joni James,P_115612
321,9,As Time Goes By,Lee Wiley with Billy Butterfield and His Orchestra,P_150105
321,10,As Time Goes By,Liberace,P_378028
321,11,As Time Goes By,Edmundo Ros and His Orchestra,P_668134
321,12,As Time Goes By,Bob Brookmeyer and Bill Evans,P_764025
322,0,Angel Eyes,Ella Fitzgerald,P_76653
322,1,Angel Eyes,June Christy and Stan Kenton,P_85753
322,2,Angel Eyes,Johnny Mathis,P_40186
322,3,Angel Eyes,The Four Freshmen,P_145396
322,4,Angel Eyes,Chris Connor,P_232148
322,5,Angel Eyes,Frank Sinatra,P_20321
322,6,Angel Eyes,Kenny Dorham,P_544891
322,7,Angel Eyes,Jesse Belvin with Marty Paich and His Orchestra,P_664478
322,8,Angel Eyes,Chet Baker,P_298134
322,9,Angel Eyes,Anita O'Day,P_198294
322,10,Angel Eyes,The J.J. Johnson Quintet,P_182041
322,11,Angel Eyes,Ray Bryant Trio,P_42309
322,12,Angel Eyes,Bill Perkins,P_147478
323,0,Fever,Little Willie John,P_186102
323,1,Fever,Sandra Meade,P_181870
323,2,Fever,Earl Grant,P_154337
323,3,Fever,Kay Martin and Her Bodyguards,P_166225
323,4,Fever,Ray Peterson,P_72963
323,5,Fever,Peggy Lee,P_12269
323,6,Fever,Maureen Evans,P_174555
323,7,Fever,Sallie Blair,P_647691
323,8,Fever,Norma Bengell,P_269391
323,9,Fever,Frankie Avalon,P_12470
323,10,Fever,"Kenny Burrell, Jimmy Smith",P_320221
323,11,Fever,Claus Ogerman and His Orchestra,P_653040
323,12,Fever,The T-Bones,P_105015
324,0,Honeysuckle Rose,Fats Waller and His Rhythm,P_119555
324,1,Honeysuckle Rose,Louis Jordan and His Tympany Five,P_140587
324,2,Honeysuckle Rose,Svend Asmussens Kvintet,P_79921
324,3,Honeysuckle Rose,Dinah Shore,P_228984
324,4,Honeysuckle Rose,Cootie Williams Sextet,P_188469
324,5,Honeysuckle Rose,Rose Murphy,P_149229
324,6,Honeysuckle Rose,Kay Starr,P_585901
324,7,Honeysuckle Rose,Anita O'Day,P_435431
324,8,Honeysuckle Rose,Maxine Sullivan,P_156207
324,9,Honeysuckle Rose,Dinah Washington,P_42489
324,10,Honeysuckle Rose,Joe Sullivan,P_583959
324,11,Honeysuckle Rose,Fletcher Henderson & His Orchestra,P_120324
324,12,Honeysuckle Rose,Red Norvo and His Swing Octet,P_221869
325,0,Speak Low,Kurt Weill,P_438900
325,1,Speak Low,Mary Martin - Kenny Baker,P_149614
325,2,Speak Low,Guy Lombardo and His Royal Canadians,P_455416
325,3,Speak Low,Eileen Wilson & Dick Haymes,P_548185
325,4,Speak Low,Anita O'Day and Her Orchestra,P_515478
325,5,Speak Low,"Les Baxter, His Chorus and Orchestra",P_345137
325,6,Speak Low,Ray Conniff and His Orchestra and Chorus,P_366873
325,7,Speak Low,The Four Freshmen,P_145397
325,8,Speak Low,Dolores Gray,P_245884
325,9,Speak Low,Roy Hamilton,P_67115
325,10,Speak Low,Morton Gould and His Orchestra,P_275595
325,11,Speak Low,Barney Kessel,P_116172
325,12,Speak Low,Laurindo Almeida Quartet feat. Bud Shank,P_749991
326,0,They Can't Take That Away from Me,Fred Astaire,P_4685
326,1,They Can't Take That Away from Me,Jimmy Dorsey and His Orchestra,P_82110
326,2,They Can't Take That Away from Me,Billie Holiday and Her Orchestra,P_118774
326,3,They Can't Take That Away from Me,Dizzy Gillespie and His Orchestra,P_441485
326,4,They Can't Take That Away from Me,Sarah Vaughan,P_441715
326,5,They Can't Take That Away from Me,Peggy Lee,P_303967
326,6,They Can't Take That Away from Me,Anita Ellis,P_547419
326,7,They Can't Take That Away from Me,Ella Fitzgerald and Louis Armstrong,P_82842
326,8,They Can't Take That Away from Me,Perry Como,P_46153
326,9,They Can't Take That Away from Me,Ray Conniff,P_172645
326,10,They Can't Take That Away from Me,Billy Taylor Trio,P_722334
326,11,They Can't Take That Away from Me,Al Haig Trio,P_116159
326,12,They Can't Take That Away from Me,Coleman Hawkins,P_140874
327,0,My Favorite Things,"Mary Martin, Patricia Neway",P_122902
327,1,My Favorite Things,The Norman Luboff Choir,P_648722
327,2,My Favourite Things,Petula Clark - The Peter Knight Orchestra and Chorus,P_757739
327,3,My Favorite Things,Sarah Vaughan,P_283325
327,4,My Favorite Things,Jane Morgan,P_585412
327,5,My Favorite Things,Mark Murphy,P_201327
327,6,My Favorite Things,The Lennon Sisters,P_398428
327,7,My Favorite Things,Joe & Eddie,P_294882
327,8,My Favorite Things,Betty Carter,P_174451
327,9,My Favorite Things,Youn Sun Nah,P_259143
327,10,My Favorite Things,Percy Faith and His Orchestra,P_544551
327,11,My Favorite Things,The Pete Jolly Trio and Friends,P_304107
327,12,My Favourite Things,David Snell,P_408796
328,0,The Very Thought of You,Al Bowlly,P_294768
328,1,The Very Thought of You,Bing Crosby with Georgie Stoll and His Orchestra,P_552388
328,2,The Very Thought of You,Irving Conn and His Orchestra,P_784064
328,3,The Very Thought of You,Ray Noble and His Orchestra,P_10849
328,4,The Very Thought of You,Guy Lombardo and His Royal Canadians,P_491706
328,5,The Very Thought of You,Luis Russell and His Orchestra,P_81407
328,6,The Very Thought of You,Doris Day and Harry James,P_373208
328,7,The Very Thought of You,Johnny Dankworth Seven - Vocals by Cleo Laine,P_582692
328,8,The Very Thought of You,Frances Bergen with Art Van Damme Quintet,P_664058
328,9,The Very Thought of You,Rikki Price,P_474554
328,10,The Very Thought of You,Morton Gould and His Orchestra,P_275599
328,11,The Very Thought of You,Charlie Mariano,P_734632
328,12,The Very Thought of You,Morton Gould,P_231958
329,0,Unchained Melody,Liberace,P_124661
329,1,Unchained Melody,Roy Hamilton,P_12784
329,2,Unchained Melody,Al Hibbler,P_8749
329,3,Unchained Melody,Jimmy Young with Bob Sharples and His Music,P_11806
329,4,Unchained Melody,Jean Carson,P_315090
329,5,Unchained Melody,Harry Belafonte,P_124681
329,6,Unchained Melody,Gene Vincent and His Blue Caps,P_43002
329,7,Unchained Melody,Ricky Nelson,P_93886
329,8,Unchained Melody,The Teddy Bears,P_479996
329,9,Unchained Melody,The Browns [US1],P_36344
329,10,Unchained Melody,Les Baxter His Chorus and Orchestra,P_43301
329,11,Unchained Melody,Chet Atkins and His Gallopin' Guitar,P_124676
329,12,Unchained Melody,Billy Vaughn and His Orchestra,P_593863
330,0,"Take the ""A"" Train",The Delta Rhythm Boys,P_52180
330,1,"Take the ""A"" Train",Duke Ellington and His Orchestra,P_710508
330,2,Take the A Train,Ella Fitzgerald with Duke Ellington and His Orchestra,P_746532
330,3,"Take the ""A"" Train",Betty Roché,P_228881
330,4,"Take the ""A"" Train",Anita O'Day,P_136182
330,5,Take the A Train,The King Sisters,P_530261
330,6,"Take the ""A"" Train",The Clark Sisters [1],P_508085
330,7,Take the 'A' Train,Mel Tormé,P_495053
330,8,"Take the ""A"" Train",Eddie Jefferson,P_113976
330,9,"Take the ""A"" Train",Caterina Valente With John Keating And His Orchestra,P_435329
330,10,"Take the ""A"" Train",Duke Ellington and His Famous Orchestra,P_52177
330,11,"Take the ""A"" Train",Cab Calloway,P_52179
330,12,"Take the ""A"" Train",Glenn Miller and His Orchestra,P_52178
331,0,Can't Help Falling in Love,Elvis Presley with The Jordanaires,P_175
331,1,Can't Help Falling in Love,Perry Como,P_81052
331,2,Can't Help Falling in Love,Sharon,P_437750
331,3,Can't Help Falling in Love with You,The Lettermen,P_60208
331,4,Can't Help Falling in Love,Danny Williams,P_404713
331,5,Can't Help Falling in Love,The Paris Sisters,P_230280
331,6,Can't Help Falling in Love,Brenda Lee,P_102987
331,7,Falling in Love With You,Bobby Curtola,P_412784
331,8,Can't Help Falling in Love,Andy Williams,P_268220
331,9,Can't Help Falling in Love,Top of the Pops,P_310115
331,10,Can't Help Falling in Love,The Bruce Baxter Orchestra & Guitar,P_626595
331,11,Can't Help Falling in Love,David Osborne,P_796737
331,12,Can't Help Falling in Love,Sweet Little Band,P_526222
332,0,You Go to My Head,Larry Clinton & His Orchestra,P_67922
332,1,You Go to My Head,Billie Holiday & Her Orchestra,P_30918
332,2,You Go to My Head,Teddy Wilson and His Orchestra,P_215391
332,3,You Go to My Head,Jan Savitt and His Top Hatters - Vocal refrain by Carlotta Dale,P_62697
332,4,You Go to My Head,Marlene Dietrich with Victor Young and His Orchestra,P_436925
332,5,You Go to My Head,Frank Sinatra,P_46369
332,6,You Go to My Head,John Kirby and His Orchestra - Vocal by Sarah Vaughn,P_605065
332,7,You Go to My Head,Doris Day,P_373023
332,8,You Go to My Head,Peggy Lee and Gordon Jenkins and His Orchestra,P_342696
332,9,You Go to My Head,Beverly Kenney  with Ralph Burns' Orchestra,P_521107
332,10,You Go to My Head,Lee Konitz,P_322230
332,11,You Go to My Head,Bud Powell,P_86519
332,12,You Go to My Head,Earl Bostic and His Orchestra,P_585359
333,0,Smoke Gets in Your Eyes,Tamara,P_7202
333,1,(When Your Heart's on Fire) Smoke Gets in Your Eyes,Gertrude Niesen,P_297243
333,2,Smoke Gets in Your Eyes,Paul Whiteman and His Orchestra,P_292695
333,3,When Your Heart's on Fire Smoke Gets in Your Eyes,Emil Coleman and His Riviera Orchestra,P_445104
333,4,Smoke Gets in Your Eyes (When Your Heart's on Fire),Lew Stone and His Band,P_475001
333,5,Smoke Gets in Your Eyes,Ruth Etting,P_208132
333,6,Smoke Gets in Your Eyes,Jo Stafford with Paul Weston and His Orchestra,P_75853
333,7,Smoke Gets in Your Eyes,Jeri Southern,P_115176
333,8,Smoke Gets in Your Eyes,Dinah Washington,P_168059
333,9,Smoke Gets in Your Eyes,Betty Madigan,P_597986
333,10,Smoke Gets in Your Eyes,Artie Shaw and His Gramercy 5,P_440147
333,11,Smoke Gets in Your Eyes,Teddy Wilson,P_82704
333,12,Smoke Gets in Your Eyes,Don Byas Quartet,P_652556
334,0,The Look of Love,Dusty Springfield,P_3349
334,1,The Look of Love,Andy Williams,P_23453
334,2,The Look of Love,The Brass Ring,P_161961
334,3,Look of Love,Howard Roberts,P_166500
334,4,The Look of Love,Nina Simone,P_39757
334,5,The Look of Love,Carmen McRae,P_28726
334,6,The Look of Love,Ramsey Lewis,P_166184
334,7,The Look of Love,The Anita Kerr Singers,P_158428
334,8,The Look of Love,Lainie Kazan,P_400369
334,9,The Look of Love,Vanilla Fudge,P_104437
334,10,The Look of Love,Stan Getz,P_76174
334,11,The Look of Love,Burt Bacharach and His Orchestra,P_293596
334,12,The Look of Love,Odell Brown & The Organ-izers,P_403885
335,0,"Ring Christmas Bells, The First Noel and We Wish You a Merry Christmas",Frank De Vol & Rainbow Strings,P_767911
335,1,Silent Night; O Little Town of Bethlehem; We Wish You a Merry Christmas,John Klein,P_228808
335,2,We Wish You a Merry Christmas,Patti Page,P_497229
335,3,We Wish You a Merry Christmas,Roger Whittaker,P_663102
335,4,The New Twelve Days of Christmas - We Wish You a Merry Christmas,First Call,P_767498
335,5,We Wish You a Merry Christmas,Lou Rawls,P_711185
335,6,We Wish You a Merry Christmas,Willie Nelson,P_498415
335,7,We Wish You a Merry Christmas,Die Roten Rosen,P_349633
335,8,We Wish You a Merry Christmas,Kidz Bop Kids [US],P_790547
335,9,We Wish You a Merry Christmas,Brian Wilson,P_129935
335,10,We Wish You a Merry Christmas,The Ventures,P_134414
335,11,We Wish You a Merry Christmas,Booker T. & The M.G.'s,P_159403
335,12,We Wish You a Merry Christmas,The Nashville Superpickers,P_754629
336,0,Christmas Time Is Here [Vocals],Vince Guaraldi,P_632161
336,1,Christmas Time Is Here,Patti Austin,P_755315
336,2,Christmas Time Is Here,Mel Tormé,P_531026
336,3,Christmas Time Is Here,R.E.M.,P_74108
336,4,Christmas Time Is Here,Rosemary Clooney,P_497460
336,5,Christmas Time Is Here,Melissa Manchester,P_527741
336,6,Christmas Time Is Here,Chicago,P_107781
336,7,Christmas Time Is Here,Shawn Colvin,P_160536
336,8,Christmas Time Is Here,Diana Krall,P_197166
336,9,Christmas Time Is Here,Fourplay,P_276704
336,10,Christmas Time Is Here,Vince Guaraldi,P_46851
336,11,Christmas Time Is Here,Sally Harmon,P_786379
336,12,Christmas Time Is Here / The Christmas Waltz,Stan Whitmire ‎,P_771645
337,0,Ain't Misbehavin',The Charleston Chasers,P_81120
337,1,Ain't Misbehavin',Abe Lyman & His Californians,P_81125
337,2,Ain't Misbehavin',Louis Armstrong and His Orchestra,P_26553
337,3,Ain't Misbehavin',Billy Butterfield and His Orchestra,P_273302
337,4,Ain't Misbehavin',Dinah Washington and Rudy Martin's Trio,P_232973
337,5,Ain't Misbehavin',Sarah Vaughan with George Treadwell and His All Stars,P_290992
337,6,Ain't Misbehavin',Johnnie Ray - Orch. Chorus under dir. of Ray Conniff,P_168391
337,7,Ain't Misbehavin' (I'm Savin' My Love for You),Bing Crosby,P_420363
337,8,Ain't Misbehavin',Gwen Verdon with Joe Reisman and His Orchestra,P_488300
337,9,Ain't Misbehavin',Maxine Sullivan,P_156209
337,10,Ain't Misbehavin',Fats Waller,P_26552
337,11,Ain't Misbehavin',Cootie Williams and His Orchestra,P_665852
337,12,Ain't Misbehavin',Benny Goodman Sextet,P_586567
338,0,Just One of Those Things,Doris Day,P_320622
338,1,Just One of Those Things,Peggy Lee and Gordon Jenkins and His Orchestra,P_195107
338,2,Just One of Those Things,Frank Sinatra,P_62792
338,3,Just One of Those Things,Anita O'Day,P_114055
338,4,Just One of Those Things,"Sammy Davis, Jr.",P_454450
338,5,Just One of Those Things,Ella Fitzgerald,P_82963
338,6,Just One of Those Things,The Mary Kaye Trio,P_421006
338,7,Just One of Those Things,Sarah Vaughan and Her Trio,P_330014
338,8,Just One of Those Things,Blossom Dearie,P_118603
338,9,Just One of Those Things,Billie Holiday,P_132052
338,10,Just One of Those Things,Benny Goodman Sextet,P_586570
338,11,Just One of Those Things,Andre Previn,P_525041
338,12,Just One of Those Things,Oscar Peterson,P_468182
339,0,Manhã de Carnaval: Orfeu,Agostinho dos Santos,P_222887
339,1,Manhã de Carnaval,Pery Ribeiro,P_750039
339,2,Manha de Carnaval,Joan Baez,P_347503
339,3,Manhã de Carnaval,Billy Eckstine,P_460317
339,4,Manhã de Carnaval (Morning of the Carnival),Johnny Mathis,P_759778
339,5,Manhã de Carnaval,Astrud Gilberto,P_269729
339,6,Manhã de Carnaval,Freddy Cole,P_610482
339,7,Manhã de Carnaval,Caetano Veloso - Luciano Pavarotti,P_119937
339,8,Manha de Carnival,Dusty Springfield,P_399284
339,9,Manhã de Carnaval,Maria Augusta,P_478584
339,10,Manhã de Carnaval,Luiz Bonfá,P_222878
339,11,Carnival,Pepe Jaramillo with His Latin American Rhythm,P_742176
339,12,Manhã de Carnaval,Vince Guaraldi Trio,P_44584
340,0,On Green Dolphin Street,Jimmy Dorsey and His Orchestra,P_20710
340,1,On Green Dolphin Street,Sarah Vaughan Arranged & Conducted by Quincy Jones,P_237457
340,2,On Green Dolphin Street,Mel Tormé,P_53378
340,3,On Green Dolphin Street,Billy Eckstine,P_460323
340,4,On Green Dolphin Street,Tony Bennett,P_129070
340,5,Green Dolphin Street,The Singers Unlimited,P_296091
340,6,On Green Dolphin Street,Carmen McRae,P_507289
340,7,On Green Dolphin Street,Ella Fitzgerald and Joe Pass,P_765287
340,8,On Green Dolphin Street,George Benson featuring The Count Basie Orchestra,P_449144
340,9,Green Dolphin Street,Gabrielle Goodman,P_489795
340,10,On Green Dolphin Street,"Barney Kessel, Shelly Manne & Ray Brown",P_351810
340,11,Green Dolphin Street,Wynton Kelly,P_563893
340,12,On Green Dolphin Street,Paul Horn Four,P_157095
341,0,Corcovado,Silvia Telles,P_269947
341,1,Corcovado,Stan Getz & João Gilberto,P_64516
341,2,Corcovado,Nara Leão,P_416073
341,3,Corcovado,Maria Creuza,P_439245
341,4,Corcovado,Elis & Tom,P_64517
341,5,Corcovado,Sonia Rosa with Yuji Ohno,P_552640
341,6,Corcovado,Joyce,P_416456
341,7,Corcovado,Trio Esperança,P_77511
341,8,Corcovado,Everything but the Girl,P_67521
341,9,Corcovado,Rosa Passos,P_417560
341,10,Corcovado,Paulinho Nogueira,P_752816
341,11,Corcovado,Antônio Carlos Jobim,P_247195
341,12,Corcovado,Cannonball Adderley and The Bossa Rio Sextet,P_416092
342,0,Something,Peggy Lee,P_2659
342,1,Something,Joe Cocker,P_26203
342,2,Something,Tony Bennett,P_31094
342,3,Something,Bobby Vinton,P_51395
342,4,Something,Shirley Bassey,P_11365
342,5,Something,Jerry Reed & Chet Atkins,P_340583
342,6,Something,King Curtis,P_23155
342,7,Something,Perry Como,P_8527
342,8,Something,Lena & Gabor,P_119701
